Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Label,BinaryLabel
192.168.10.15,58239,23.52.155.27,80,6,5607912,3,1,12,0,2.139833863,0.713277954,6,0,4.0,0,0,0.0,2.4,3.286335345,10.8,3.0,BENIGN,0
192.168.10.15,58230,23.52.155.27,80,6,5871906,3,1,12,0,2.043629445,0.681209815,6,0,4.0,0,0,0.0,2.4,3.286335345,10.8,3.0,BENIGN,0
192.168.10.15,58241,23.52.155.27,80,6,5591596,3,1,12,0,2.146077792,0.715359264,6,0,4.0,0,0,0.0,2.4,3.286335345,10.8,3.0,BENIGN,0
192.168.10.15,58229,23.52.155.27,80,6,5871951,3,1,12,0,2.043613784,0.681204595,6,0,4.0,0,0,0.0,2.4,3.286335345,10.8,3.0,BENIGN,0
192.168.10.15,58228,23.52.155.27,80,6,115112761,16,14,515,1776,19.90222439,0.260614025,431,0,32.1875,1770,0,126.8571429,73.90322581,324.0313107,104996.2903,76.36666667,BENIGN,0
192.168.10.15,58238,23.52.155.27,80,6,115717044,18,17,926,3540,38.59414176,0.302461926,418,0,51.44444444,1460,0,208.2352941,124.0555556,348.371308,121362.5683,127.6,BENIGN,0
192.168.10.15,58240,23.52.155.27,80,6,115665104,16,14,515,1397,16.53048269,0.259369498,431,0,32.1875,1391,0,99.78571429,61.67741935,258.4088991,66775.15914,63.73333333,BENIGN,0
192.168.10.15,58231,23.52.155.27,80,6,115945420,16,14,515,1780,19.79379608,0.258742432,431,0,32.1875,1774,0,127.1428571,74.03225806,324.7292702,105449.0989,76.5,BENIGN,0
192.168.10.15,58232,23.52.155.27,80,6,115945248,16,14,515,1780,19.79382544,0.258742816,431,0,32.1875,1774,0,127.1428571,74.03225806,324.7292702,105449.0989,76.5,BENIGN,0
192.168.10.15,58227,23.52.155.27,80,6,116127919,16,14,515,1776,19.72824468,0.25833581,431,0,32.1875,1770,0,126.8571429,73.90322581,324.0313107,104996.2903,76.36666667,BENIGN,0
192.168.10.15,58244,23.52.155.27,80,6,115128171,16,14,515,1812,20.21225543,0.260579142,431,0,32.1875,1806,0,129.4285714,75.06451613,330.3161047,109108.729,77.56666667,BENIGN,0
192.168.10.15,58199,34.196.190.130,443,6,5388503,8,5,372,3118,647.6752449,2.412543892,191,0,46.5,1601,0,623.6,249.2857143,546.3791905,298530.2198,268.4615385,BENIGN,0
192.168.10.15,58194,34.196.190.130,443,6,63155886,21,21,6482,7108,215.1818439,0.665021151,1618,0,308.6666667,1601,0,338.4761905,316.0465116,552.4488321,305199.7121,323.5714286,BENIGN,0
192.168.10.15,58245,34.205.199.254,443,6,60357814,14,14,802,5659,107.0449636,0.463900167,426,0,57.28571429,1460,0,404.2142857,222.7931034,446.656338,199501.8842,230.75,BENIGN,0
192.168.10.15,58246,34.205.199.254,443,6,60358522,15,14,911,5286,102.6698434,0.480462394,529,0,60.73333333,1460,0,377.5714286,206.5666667,437.6858174,191568.8747,213.6896552,BENIGN,0
192.168.10.15,58234,50.63.243.230,80,6,76144,3,5,433,2278,35603.59319,105.0640891,427,0,144.3333333,1460,0,455.6,301.2222222,518.0564105,268382.4444,338.875,BENIGN,0
192.168.10.15,58234,50.63.243.230,80,6,6183,2,0,12,0,1940.805434,323.4675724,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.15,58233,50.63.243.230,80,6,5870102,3,1,12,2,2.384967076,0.681419164,6,0,4.0,2,2,2.0,2.8,3.033150178,9.2,3.5,BENIGN,0
192.168.10.15,58209,52.203.95.194,443,6,5911458,8,5,375,3118,590.8863769,2.199119067,194,0,46.875,1601,0,623.6,249.5,546.3551606,298503.9615,268.6923077,BENIGN,0
192.168.10.15,58210,52.203.95.194,443,6,61034034,15,16,1854,6711,140.3315403,0.507913339,1468,0,123.6,1601,0,419.4375,267.65625,547.2095553,299438.2974,276.2903226,BENIGN,0
192.168.10.15,58225,52.22.131.109,443,6,60915701,17,16,1345,7693,148.3689731,0.541732254,952,0,79.11764706,1460,0,480.8125,265.8235294,505.7767786,255810.1497,273.8787879,BENIGN,0
192.168.10.15,58236,52.35.43.63,443,6,5816887,8,4,368,2772,539.8076325,2.062959105,187,0,46.0,2713,2,693.0,241.5384615,744.789077,554710.7692,261.6666667,BENIGN,0
192.168.10.15,58235,52.35.43.63,443,6,61101867,15,13,1109,3719,79.01558884,0.458251137,730,0,73.93333333,1460,2,286.0769231,166.4827586,390.0636048,152149.6158,172.4285714,BENIGN,0
192.168.10.15,58105,52.84.142.16,443,6,4214841,5,1,135,46,42.94349419,1.423541244,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.15,58220,52.84.145.42,443,6,170942,15,13,822,8412,54018.322,163.7982474,189,0,54.8,1460,0,647.0769231,318.4137931,538.8932121,290405.8941,329.7857143,BENIGN,0
192.168.10.15,58221,52.84.145.42,443,6,118143660,13,12,644,5930,55.64412005,0.211606784,189,0,49.53846154,2551,0,494.1666667,252.8461538,608.6627107,370470.2954,262.96,BENIGN,0
192.168.10.15,58222,54.84.185.43,443,6,5143196,9,7,375,5182,1080.456588,3.110906137,188,0,41.66666667,1460,0,740.2857143,326.8823529,555.8512484,308970.6103,347.3125,BENIGN,0
192.168.10.15,58223,54.84.185.43,443,6,61152449,16,15,695,5637,103.544504,0.506929821,309,0,43.4375,1460,0,375.8,197.875,431.8967731,186534.8226,204.2580645,BENIGN,0
192.168.10.15,58243,63.241.108.103,443,6,4539253,7,7,976,3698,1029.68484,3.084207908,421,0,139.4285714,1400,0,528.2857143,311.6,485.7240251,235927.8286,333.8571429,BENIGN,0
192.168.10.15,58212,66.235.144.209,443,6,5813206,8,8,376,3559,676.9070286,2.752353865,195,0,47.0,1460,0,444.875,231.4705882,483.5596031,233829.8897,245.9375,BENIGN,0
192.168.10.15,58211,66.235.144.209,443,6,16816024,15,17,6094,6786,765.9361095,1.902946856,2958,0,406.2666667,1489,0,399.1764706,390.3030303,700.9969011,491396.6553,402.5,BENIGN,0
192.168.10.15,58211,66.235.144.209,443,6,23,1,1,6,6,521739.1304,86956.52174,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.15,58226,66.235.147.240,443,6,117999751,14,11,1300,3652,41.96619025,0.211864854,648,0,92.85714286,1625,2,332.0,190.4615385,421.3664658,177549.6985,198.08,BENIGN,0
192.168.10.15,58247,68.67.180.12,443,6,10107912,7,10,2765,5872,854.4791447,1.681850812,2428,0,395.0,1689,2,587.2,479.8333333,763.0345956,582221.7941,508.0588235,BENIGN,0
192.168.10.15,58247,68.67.180.12,443,6,127,2,0,12,0,94488.18898,15748.0315,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.15,58204,72.21.91.29,80,6,5206474,3,1,12,0,2.304822803,0.768274268,6,0,4.0,0,0,0.0,2.4,3.286335345,10.8,3.0,BENIGN,0
192.168.10.15,58202,72.21.91.29,80,6,116295812,20,16,1404,2394,32.65809778,0.309555429,436,0,70.2,796,0,149.625,102.6486486,240.4791763,57830.23423,105.5,BENIGN,0
192.168.10.15,58203,72.21.91.29,80,6,117311242,22,17,1846,3190,42.92853706,0.332448957,436,0,83.90909091,796,0,187.6470588,125.9,261.2329543,68242.65641,129.1282051,BENIGN,0
192.168.10.16,47796,184.84.243.218,80,6,115452639,16,14,294,384,5.872537916,0.25984681,294,0,18.375,384,0,27.42857143,21.87096774,85.45242026,7302.116129,22.6,BENIGN,0
192.168.10.16,138,192.168.10.255,138,17,25,13,0,3029,0,121000000.0,520000.0,233,233,233.0,0,0,0.0,233.0,0.0,0.0,250.9230769,BENIGN,0
192.168.10.16,123,192.168.10.3,123,17,139,2,2,96,96,1381294.964,28776.97842,48,48,48.0,48,48,48.0,48.0,0.0,0.0,60.0,BENIGN,0
192.168.10.16,60616,192.168.10.3,53,17,271,2,2,74,198,1003690.037,14760.1476,37,37,37.0,99,99,99.0,61.8,33.95879857,1153.2,77.25,BENIGN,0
192.168.10.16,16271,192.168.10.3,53,17,211,2,2,74,106,853080.5687,18957.34597,37,37,37.0,53,53,53.0,43.4,8.76356092,76.8,54.25,BENIGN,0
192.168.10.16,62711,192.168.10.3,53,17,782871,2,2,60,208,342.3297069,5.109398611,30,30,30.0,104,104,104.0,59.6,40.53146926,1642.8,74.5,BENIGN,0
192.168.10.16,51892,192.168.10.3,53,17,564698,2,2,60,240,531.2574155,7.083432206,30,30,30.0,120,120,120.0,66.0,49.29503018,2430.0,82.5,BENIGN,0
192.168.10.16,46570,192.168.10.3,53,17,165303,2,2,84,310,2383.501812,24.19798794,42,42,42.0,155,155,155.0,87.2,61.892649,3830.7,109.0,BENIGN,0
192.168.10.16,7277,192.168.10.3,53,17,332,2,2,84,362,1343373.494,12048.19277,42,42,42.0,181,181,181.0,97.6,76.13343549,5796.3,122.0,BENIGN,0
192.168.10.16,25932,192.168.10.3,53,17,50634,2,2,74,170,4818.896394,78.99830154,37,37,37.0,85,85,85.0,56.2,26.29068276,691.2,70.25,BENIGN,0
192.168.10.16,65171,192.168.10.3,53,17,70905,2,2,74,202,3892.532261,56.41351104,37,37,37.0,101,101,101.0,62.6,35.05424368,1228.8,78.25,BENIGN,0
192.168.10.16,26650,192.168.10.3,53,17,24221,2,2,80,290,15276.00017,165.1459477,40,40,40.0,145,145,145.0,82.0,57.51086854,3307.5,102.5,BENIGN,0
192.168.10.16,19932,192.168.10.3,53,17,62507,2,2,80,326,6495.272529,63.9928328,40,40,40.0,163,163,163.0,89.2,67.36987457,4538.7,111.5,BENIGN,0
192.168.10.16,51434,59.56.30.206,443,6,543371,8,4,370,1676,3765.383136,22.08435857,189,0,46.25,1670,0,419.0,157.3846154,458.2238424,209969.0897,170.5,BENIGN,0
192.168.10.16,51434,59.56.30.206,443,6,208380,7,4,42,124,796.6215568,52.78817545,6,6,6.0,31,31,31.0,14.33333333,12.3091491,151.5151515,15.63636364,BENIGN,0
192.168.10.17,46782,104.197.43.56,443,6,65210662,32,19,13893,5456,296.7152825,0.782080697,821,0,434.15625,341,0,287.1578947,387.8846154,344.8653419,118932.1041,395.4901961,BENIGN,0
192.168.10.17,34346,104.24.112.60,443,6,6656731,5,1,129,41,25.53806065,0.901343317,45,6,25.8,41,41,41.0,30.14285714,17.03358028,290.1428571,35.16666667,BENIGN,0
192.168.10.17,43695,146.148.13.21,443,6,16381425,8,8,1191,1184,144.9812822,0.976716006,587,0,148.875,1003,0,148.0,139.7058824,286.9119562,82318.47059,148.4375,BENIGN,0
192.168.10.17,43696,146.148.13.21,443,6,16372486,8,8,1187,1193,145.365829,0.977249271,583,0,148.375,1012,0,149.125,140.0,288.2221366,83072.0,148.75,BENIGN,0
192.168.10.17,43695,146.148.13.21,443,6,122,2,0,0,0,0.0,16393.44262,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.17,43696,146.148.13.21,443,6,184,2,0,0,0,0.0,10869.56522,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.17,42591,172.217.12.202,443,6,6026004,7,4,635,168,133.2558027,1.825421955,517,0,90.71428571,168,0,42.0,66.91666667,150.8487854,22755.35606,73.0,BENIGN,0
192.168.10.17,39754,174.35.72.222,443,6,30838297,14,15,977,6114,229.9413615,0.940389153,645,0,69.78571429,1448,0,407.6,236.3666667,456.7374167,208609.0678,244.5172414,BENIGN,0
192.168.10.17,39756,174.35.72.222,443,6,30838122,14,15,993,6018,227.3484747,0.94039449,661,0,70.92857143,1448,0,401.2,233.7,452.2777717,204555.1828,241.7586207,BENIGN,0
192.168.10.17,41114,174.35.72.225,443,6,2,2,0,53,0,26500000.0,1000000.0,53,0,26.5,0,0,0.0,35.33333333,30.59956427,936.3333333,53.0,BENIGN,0
192.168.10.17,41115,174.35.72.225,443,6,74,2,0,53,0,716216.2162,27027.02703,53,0,26.5,0,0,0.0,35.33333333,30.59956427,936.3333333,53.0,BENIGN,0
192.168.10.17,38461,185.13.88.201,443,6,5778835,7,4,653,169,142.243203,1.90349785,517,0,93.28571429,157,0,42.25,68.5,149.0396531,22212.81818,74.72727273,BENIGN,0
192.168.10.17,38462,185.13.88.201,443,6,5779042,9,6,740,5522,1083.570599,2.595585912,517,0,82.22222222,2338,0,920.3333333,391.375,713.6725556,509328.5167,417.4666667,BENIGN,0
192.168.10.17,38467,185.13.88.201,443,6,5280452,9,7,740,5522,1185.88333,3.03004364,517,0,82.22222222,1460,0,788.8571429,368.3529412,571.2011403,326270.7426,391.375,BENIGN,0
192.168.10.17,38451,185.13.88.201,443,6,60133919,17,23,1180,25346,441.1154377,0.665181992,517,0,69.41176471,4380,0,1102.0,646.9756098,1009.265141,1018616.124,663.15,BENIGN,0
192.168.10.17,38455,185.13.88.201,443,6,60198304,22,23,1210,20313,357.5349897,0.747529366,517,0,55.0,2920,0,883.173913,467.8913043,781.6495728,610976.0546,478.2888889,BENIGN,0
192.168.10.17,38456,185.13.88.201,443,6,60204413,23,26,1216,28268,489.7315418,0.813893825,517,0,52.86956522,2920,0,1087.230769,589.68,902.989625,815390.2629,601.7142857,BENIGN,0
192.168.10.17,38452,185.13.88.201,443,6,60175589,22,20,1210,19755,348.3970884,0.697957439,517,0,55.0,2920,0,987.75,487.5581395,852.5019565,726759.5858,499.1666667,BENIGN,0
192.168.10.17,38454,185.13.88.201,443,6,60192351,22,26,1210,25108,437.2316343,0.797443516,517,0,55.0,2920,0,965.6923077,537.1020408,769.1905985,591654.1769,548.2916667,BENIGN,0
192.168.10.17,38457,185.13.88.201,443,6,60220659,18,19,1186,16838,299.299282,0.614407092,517,0,65.88888889,2920,0,886.2105263,474.3157895,848.9815872,720769.7354,487.1351351,BENIGN,0
192.168.10.17,38450,185.13.88.201,443,6,60568312,25,29,1645,37655,648.8541401,0.891555307,517,0,65.8,3273,0,1298.448276,714.5454545,1013.591247,1027367.215,727.7777778,BENIGN,0
192.168.10.17,38453,185.13.88.201,443,6,60555253,34,39,1699,49082,838.589511,1.20551061,517,0,49.97058824,4380,0,1258.512821,686.2297297,926.9514853,859239.0561,695.630137,BENIGN,0
192.168.10.17,38466,185.13.88.201,443,6,60095370,17,20,1180,21317,374.3549628,0.615688031,517,0,69.41176471,4380,0,1065.85,592.0263158,1083.281788,1173499.432,608.027027,BENIGN,0
192.168.10.17,38459,185.13.88.201,443,6,60569437,37,37,2134,55885,957.8923443,1.221738284,517,0,57.67567568,3273,0,1510.405405,773.5866667,1066.196905,1136775.84,784.0405405,BENIGN,0
192.168.10.17,38465,185.13.88.201,443,6,60083429,18,21,1186,17571,312.182582,0.649097441,517,0,65.88888889,2920,0,836.7142857,468.925,737.282689,543585.7635,480.9487179,BENIGN,0
192.168.10.17,38470,185.13.88.201,443,6,60096918,20,21,1198,24587,429.0569443,0.682231325,517,0,59.9,2920,0,1170.809524,613.9285714,978.7290263,957910.507,628.902439,BENIGN,0
192.168.10.17,38469,185.13.88.201,443,6,60095433,17,22,1180,20400,359.0955073,0.648967784,517,0,69.41176471,2920,0,927.2727273,539.5,825.3518597,681205.6923,553.3333333,BENIGN,0
192.168.10.17,38468,185.13.88.201,443,6,60095813,20,25,1198,28167,488.6363714,0.748804247,517,0,59.9,4380,0,1126.68,638.3695652,996.5520638,993116.0159,652.5555556,BENIGN,0
192.168.10.17,137,192.168.10.255,137,17,23,13,0,650,0,28300000.0,565217.3913,50,50,50.0,0,0,0.0,50.0,0.0,0.0,53.84615385,BENIGN,0
192.168.10.17,38302,192.168.10.3,53,17,442,2,2,90,206,669683.2579,9049.773756,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,63125,192.168.10.3,53,17,259,2,2,90,122,818532.8185,15444.01544,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,54150,192.168.10.3,53,17,287,2,2,90,206,1031358.885,13937.28223,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,47888,192.168.10.3,53,17,197,2,2,90,122,1076142.132,20304.56853,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,43847,192.168.10.3,53,17,330,2,2,90,206,896969.697,12121.21212,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,26545,192.168.10.3,53,17,270,2,2,90,122,785185.1852,14814.81481,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,12707,192.168.10.3,53,17,49193,2,2,72,140,4309.556238,81.31238184,36,36,36.0,70,70,70.0,49.6,18.62256696,346.8,62.0,BENIGN,0
192.168.10.17,29612,192.168.10.3,53,17,24339,2,2,72,268,13969.3496,164.3452895,36,36,36.0,134,134,134.0,75.2,53.67681064,2881.2,94.0,BENIGN,0
192.168.10.17,4161,192.168.10.3,53,17,265,2,2,90,122,800000.0,15094.33962,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,10517,192.168.10.3,53,17,351,2,2,90,206,843304.8433,11396.0114,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,62985,192.168.10.3,53,17,276,2,2,90,122,768115.942,14492.75362,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,34001,192.168.10.3,53,17,346,2,2,90,206,855491.3295,11560.69364,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,4647,192.168.10.3,53,17,358,2,2,90,206,826815.6425,11173.18436,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,31010,192.168.10.3,53,17,331,2,2,90,122,640483.3837,12084.59215,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,64502,192.168.10.3,53,17,191,2,2,90,122,1109947.644,20942.40838,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,11528,192.168.10.3,53,17,314,2,2,90,206,942675.1592,12738.8535,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,62687,192.168.10.3,53,17,291,2,2,90,122,728522.3368,13745.70447,45,45,45.0,61,61,61.0,51.4,8.76356092,76.8,64.25,BENIGN,0
192.168.10.17,8215,192.168.10.3,53,17,348,2,2,90,206,850574.7126,11494.25287,45,45,45.0,103,103,103.0,68.2,31.76790834,1009.2,85.25,BENIGN,0
192.168.10.17,8245,192.168.10.3,53,17,329,2,2,60,260,972644.3769,12158.05471,30,30,30.0,130,130,130.0,70.0,54.77225575,3000.0,87.5,BENIGN,0
192.168.10.17,37577,192.168.10.3,53,17,281,2,2,60,214,975088.968,14234.87544,30,30,30.0,107,107,107.0,60.8,42.17463693,1778.7,76.0,BENIGN,0
192.168.10.17,25698,192.168.10.3,53,17,197,2,2,54,86,710659.8985,20304.56853,27,27,27.0,43,43,43.0,33.4,8.76356092,76.8,41.75,BENIGN,0
192.168.10.17,65032,192.168.10.3,53,17,194,2,2,66,98,845360.8247,20618.5567,33,33,33.0,49,49,49.0,39.4,8.76356092,76.8,49.25,BENIGN,0
192.168.10.17,19778,192.168.10.3,53,17,192,2,2,54,86,729166.6667,20833.33333,27,27,27.0,43,43,43.0,33.4,8.76356092,76.8,41.75,BENIGN,0
192.168.10.17,15687,192.168.10.3,53,17,25469,2,2,64,176,9423.220386,157.0536731,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,10553,192.168.10.3,53,17,56231,2,2,64,170,4161.40563,71.13513898,32,32,32.0,85,85,85.0,53.2,29.02929555,842.7,66.5,BENIGN,0
192.168.10.17,14829,192.168.10.3,53,17,219,2,2,72,104,803652.968,18264.84018,36,36,36.0,52,52,52.0,42.4,8.76356092,76.8,53.0,BENIGN,0
192.168.10.17,14814,192.168.10.3,53,17,298,2,2,64,200,885906.0403,13422.81879,32,32,32.0,100,100,100.0,59.2,37.24513391,1387.2,74.0,BENIGN,0
192.168.10.17,56669,192.168.10.3,53,17,148,2,2,72,104,1189189.189,27027.02703,36,36,36.0,52,52,52.0,42.4,8.76356092,76.8,53.0,BENIGN,0
192.168.10.17,21358,192.168.10.3,53,17,241,2,2,64,176,995850.6224,16597.51037,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,64701,192.168.10.3,53,17,109573,2,2,70,176,2245.078623,36.50534347,35,35,35.0,88,88,88.0,56.2,29.02929555,842.7,70.25,BENIGN,0
192.168.10.17,4644,192.168.10.3,53,17,30197,2,2,60,188,8212.736365,132.4634898,30,30,30.0,94,94,94.0,55.6,35.05424368,1228.8,69.5,BENIGN,0
192.168.10.17,52395,192.168.10.3,53,17,258,2,2,72,200,1054263.566,15503.87597,36,36,36.0,100,100,100.0,61.6,35.05424368,1228.8,77.0,BENIGN,0
192.168.10.17,52843,192.168.10.3,53,17,30349,2,2,62,174,7776.203499,131.8000593,31,31,31.0,87,87,87.0,53.4,30.67246322,940.8,66.75,BENIGN,0
192.168.10.17,38037,192.168.10.3,53,17,199,2,2,66,218,1427135.678,20100.50251,33,33,33.0,109,109,109.0,63.4,41.62691437,1732.8,79.25,BENIGN,0
192.168.10.17,58586,192.168.10.3,53,17,230,2,2,64,200,1147826.087,17391.30435,32,32,32.0,100,100,100.0,59.2,37.24513391,1387.2,74.0,BENIGN,0
192.168.10.17,10689,192.168.10.3,53,17,190,2,2,54,168,1168421.053,21052.63158,27,27,27.0,84,84,84.0,49.8,31.22018578,974.7,62.25,BENIGN,0
192.168.10.17,50261,192.168.10.3,53,17,31092,2,2,64,176,7719.027403,128.6504567,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,16695,192.168.10.3,53,17,110153,2,2,70,176,2233.257378,36.3131281,35,35,35.0,88,88,88.0,56.2,29.02929555,842.7,70.25,BENIGN,0
192.168.10.17,24228,192.168.10.3,53,17,182,2,2,80,112,1054945.055,21978.02198,40,40,40.0,56,56,56.0,46.4,8.76356092,76.8,58.0,BENIGN,0
192.168.10.17,54959,192.168.10.3,53,17,245,2,2,62,198,1061224.49,16326.53061,31,31,31.0,99,99,99.0,58.2,37.24513391,1387.2,72.75,BENIGN,0
192.168.10.17,22407,192.168.10.3,53,17,158,2,2,74,138,1341772.152,25316.4557,37,37,37.0,69,69,69.0,49.8,17.52712184,307.2,62.25,BENIGN,0
192.168.10.17,9032,192.168.10.3,53,17,49197,2,2,64,128,3902.676992,81.30577068,32,32,32.0,64,64,64.0,44.8,17.52712184,307.2,56.0,BENIGN,0
192.168.10.17,33000,192.168.10.3,53,17,227,2,2,64,200,1162995.595,17621.14537,32,32,32.0,100,100,100.0,59.2,37.24513391,1387.2,74.0,BENIGN,0
192.168.10.17,62373,192.168.10.3,53,17,205,2,2,72,104,858536.5854,19512.19512,36,36,36.0,52,52,52.0,42.4,8.76356092,76.8,53.0,BENIGN,0
192.168.10.17,24217,192.168.10.3,53,17,104093,2,2,64,226,2785.970238,38.4271757,32,32,32.0,113,113,113.0,64.4,44.36552716,1968.3,80.5,BENIGN,0
192.168.10.17,13545,192.168.10.3,53,17,155,2,2,66,98,1058064.516,25806.45161,33,33,33.0,49,49,49.0,39.4,8.76356092,76.8,49.25,BENIGN,0
192.168.10.17,4219,192.168.10.3,53,17,239,2,2,74,462,2242677.824,16736.40167,37,37,37.0,231,231,231.0,114.6,106.2581762,11290.8,143.25,BENIGN,0
192.168.10.17,15472,192.168.10.3,53,17,31488,2,2,64,176,7621.95122,127.0325203,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,59464,192.168.10.3,53,17,97174,2,2,70,232,3107.827197,41.16327413,35,35,35.0,116,116,116.0,67.4,44.36552716,1968.3,84.25,BENIGN,0
192.168.10.17,4169,192.168.10.3,53,17,161,2,2,76,108,1142857.143,24844.7205,38,38,38.0,54,54,54.0,44.4,8.76356092,76.8,55.5,BENIGN,0
192.168.10.17,16963,192.168.10.3,53,17,211,2,2,64,196,1232227.488,18957.34597,32,32,32.0,98,98,98.0,58.4,36.1496888,1306.8,73.0,BENIGN,0
192.168.10.17,35786,192.168.10.3,53,17,217,2,2,72,104,811059.9078,18433.17972,36,36,36.0,52,52,52.0,42.4,8.76356092,76.8,53.0,BENIGN,0
192.168.10.17,19015,192.168.10.3,53,17,31272,2,2,60,188,7930.416986,127.9099514,30,30,30.0,94,94,94.0,55.6,35.05424368,1228.8,69.5,BENIGN,0
192.168.10.17,56603,192.168.10.3,53,17,35395,2,2,64,128,5424.494985,113.0103122,32,32,32.0,64,64,64.0,44.8,17.52712184,307.2,56.0,BENIGN,0
192.168.10.17,46090,192.168.10.3,53,17,30185,2,2,64,232,9806.19513,132.5161504,32,32,32.0,116,116,116.0,65.6,46.00869483,2116.8,82.0,BENIGN,0
192.168.10.17,56431,192.168.10.3,53,17,22387,2,2,64,176,10720.50744,178.675124,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,8891,192.168.10.3,53,17,226,2,2,64,200,1168141.593,17699.11504,32,32,32.0,100,100,100.0,59.2,37.24513391,1387.2,74.0,BENIGN,0
192.168.10.17,46975,192.168.10.3,53,17,207,2,2,74,186,1256038.647,19323.6715,37,37,37.0,93,93,93.0,59.4,30.67246322,940.8,74.25,BENIGN,0
192.168.10.17,8105,192.168.10.3,53,17,23426,2,2,64,176,10245.02689,170.7504482,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,29568,192.168.10.3,53,17,169,2,2,64,96,946745.5621,23668.63905,32,32,32.0,48,48,48.0,38.4,8.76356092,76.8,48.0,BENIGN,0
192.168.10.17,59864,192.168.10.3,53,17,188,2,2,66,194,1382978.723,21276.59574,33,33,33.0,97,97,97.0,58.6,35.05424368,1228.8,73.25,BENIGN,0
192.168.10.17,19308,192.168.10.3,53,17,24486,2,2,60,188,10128.23654,163.3586539,30,30,30.0,94,94,94.0,55.6,35.05424368,1228.8,69.5,BENIGN,0
192.168.10.17,53388,192.168.10.3,53,17,30596,2,2,62,174,7713.426592,130.7360439,31,31,31.0,87,87,87.0,53.4,30.67246322,940.8,66.75,BENIGN,0
192.168.10.17,47637,192.168.10.3,53,17,216,2,2,72,204,1277777.778,18518.51852,36,36,36.0,102,102,102.0,62.4,36.1496888,1306.8,78.0,BENIGN,0
192.168.10.17,4961,192.168.10.3,53,17,251,2,2,66,198,1051792.829,15936.25498,33,33,33.0,99,99,99.0,59.4,36.1496888,1306.8,74.25,BENIGN,0
192.168.10.17,25216,192.168.10.3,53,17,185,2,2,64,176,1297297.297,21621.62162,32,32,32.0,88,88,88.0,54.4,30.67246322,940.8,68.0,BENIGN,0
192.168.10.17,37879,192.168.10.3,53,17,104551,2,2,70,176,2352.918671,38.25884018,35,35,35.0,88,88,88.0,56.2,29.02929555,842.7,70.25,BENIGN,0
192.168.10.17,40211,192.168.10.3,53,17,198,2,2,76,108,929292.9293,20202.0202,38,38,38.0,54,54,54.0,44.4,8.76356092,76.8,55.5,BENIGN,0
